"id","activity","HU","MHC","HC50","LD50","EC50","LC50","IC50","NH"
"2148","100% hemolysis  at 5μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2149","100% hemolysis at 7μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2150","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2151","0% hemolysis at 14 µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2152","100% hemolysis at 225 µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2153","0% hemolysis at 14 µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2154","100% hemolysis at 225 µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2155","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2156","88.6% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2157","50.4% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2158","10.1% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2159","0.6% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2160","1.8% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2161","1.5% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2162","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2163","27.3% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2164","28.8% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2165","9.4% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2166","30.3% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2167","19.8% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2168","4.7% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2169","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2170","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2171","6.7% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2172","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2173","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2174","6.2% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2175","7.6% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2176","70.2% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2177","55.0% hemolysis at 40 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2178","2.5% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2179","1.8% hemolysis at 40µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2180","10.0% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2181","3.0% hemolysis at 80 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2182","~90% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2183","~100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2184","~40% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2185","~70% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2186","~100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2187","~10% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2188","~30% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2189","~45% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2190","0% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2191","~100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2192","~100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2193","~100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2194","~30% hemolysis at 200μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2195","~0% hemolysis at 200μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","~0% hemolysis at 200μM (non-hemolytic)"
"2196","~20% hemolysis at 200μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2197","~0% hemolysis at 200μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","~0% hemolysis at 200μM (non-hemolytic)"
"2198","100% hemolysis at 100μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2199","82% hemolysis at 100 µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2200","66% hemolysis at 100 µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2201","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2202","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2203","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2204","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2205","3% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2206","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2207",">80% hemolysis at 200µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2208",">60% hemolysis at 200µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2209","~ 90% hemolysis at 200µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2210","0% hemolysis at 200µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 200µg/ml (non-hemolytic)"
"2211","0% hemolysis at 200µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 200µg/ml (non-hemolytic)"
"2212","~ 80% hemolysis at 200µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2213","0% hemolysis at 20.8µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 20.8µM (non-hemolytic)"
"2214","0% hemolysis at 20.8µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 20.8µM (non-hemolytic)"
"2215","0% hemolysis at 20.8µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 20.8µM (non-hemolytic)"
"2216","0% hemolysis at 20.8µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 20.8µM (non-hemolytic)"
"2217","0% hemolysis at 20.8µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 20.8µM (non-hemolytic)"
"2218","0% hemolysis at 20.8µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 20.8µM (non-hemolytic)"
"2219","0% hemolysis at 20.8µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 20.8µM (non-hemolytic)"
"2220","~40% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2221","~60% hemolysis at 100 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2222","4% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2223","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2224","1% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2225","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2226","Not detected hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2227","Not detected hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2228","17% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2229","11% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2230","34% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2231","14% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2232","42% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2233","17% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2234","3% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2235","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2236","0% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2237","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2238","2% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2239","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2240","0% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2241","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2242","2% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2243","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2244","0% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2245","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2246","1% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2247","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2248","0% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2249","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2250","2% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2251","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2252","0% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2253","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2254","3% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2255","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2256","26% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2257","14% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2258","1% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2259","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2260","0% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2261","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2262","2% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2263","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2264","0% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2265","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2266","2% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2267","2% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2268","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2269","0% hemolysis at 200µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2270","0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2271","27% hemolysis at 100µg ml-1","NA","NA","NA","NA","NA","NA","NA","NA"
"2272","27% hemolysis at 100µg ml-1","NA","NA","NA","NA","NA","NA","NA","NA"
"2273","14% hemolysis at 100µg ml-1","NA","NA","NA","NA","NA","NA","NA","NA"
"2274","1% hemolysis at 100µg ml-1","NA","NA","NA","NA","NA","NA","NA","NA"
"2275","13% hemolysis at 100µg ml-1","NA","NA","NA","NA","NA","NA","NA","NA"
"2276","3% hemolysis at 100µg ml-1","NA","NA","NA","NA","NA","NA","NA","NA"
"2277","1% hemolysis at 100µg ml-1","NA","NA","NA","NA","NA","NA","NA","NA"
"2278","100% hemolysis at 1μM  ","NA","NA","NA","NA","NA","NA","NA","NA"
"2279","100% hemolysis at 1 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2280","100% hemolysis at 5 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2281","100% hemolysis at ~40 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2282","~10% hemolysis at 80 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2283","0% hemolysis at 200 μg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 200 μg/ml (non-hemolytic)"
"2284","1% hemolysis at 200 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2285","~60% hemolysis at 200 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2286","100% hemolysis at 15-50µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2287","100% hemolysis at >150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2288","100% hemolysis at >150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2289","100% hemolysis at >150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2290","100% hemolysis at 51–100 µg/mL","NA","NA","NA","NA","NA","NA","NA","NA"
"2291","100% hemolysis at >150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2292","100% hemolysis at <15µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2293","100% hemolysis at 15-50µg/m","NA","NA","NA","NA","NA","NA","NA","NA"
"2294","100% hemolysis at 15-50µg/m","NA","NA","NA","NA","NA","NA","NA","NA"
"2295","100% hemolysis at <15µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2296","100% hemolysis at >150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2297","100% hemolysis at 100–150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2298","100% hemolysis at 15-50µg/m","NA","NA","NA","NA","NA","NA","NA","NA"
"2299","100% hemolysis at <15µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2300","100% hemolysis at 15-50µg/m","NA","NA","NA","NA","NA","NA","NA","NA"
"2301","100% hemolysis at 51–100 µg/mL","NA","NA","NA","NA","NA","NA","NA","NA"
"2302","100% hemolysis at <15µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2303","100% hemolysis at 100–150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2304","100% hemolysis at 15-50µg/m","NA","NA","NA","NA","NA","NA","NA","NA"
"2305","100% hemolysis at < 15µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2306","100% hemolysis at < 15µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2307","100% hemolysis at 100–150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2308","100% hemolysis at < 15µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2309","100% hemolysis at 15-50µg/m","NA","NA","NA","NA","NA","NA","NA","NA"
"2310","100% hemolysis at 15-50µg/m","NA","NA","NA","NA","NA","NA","NA","NA"
"2311","100% hemolysis at > 150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2312","100% hemolysis at > 150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2313","100% hemolysis at > 150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2314","100% hemolysis at > 150µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2315","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2316","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2317","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2318","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2319","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2320","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2321","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2322","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2323","HC50  =  4µM","NA","NA","HC50  =  4µM","NA","NA","NA","NA","NA"
"2324","HC50  = 4µM","NA","NA","HC50  = 4µM","NA","NA","NA","NA","NA"
"2325","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2326","HC50  = 120µM","NA","NA","HC50  = 120µM","NA","NA","NA","NA","NA"
"2327","HC50   >200µM","NA","NA","HC50   >200µM","NA","NA","NA","NA","NA"
"2328","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2329","<20% hemolysis at 2.15 to 215µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2330","EC50   >100(µg/ml)","NA","NA","NA","NA","EC50   >100(µg/ml)","NA","NA","NA"
"2331","EC50   >100(µg/ml)","NA","NA","NA","NA","EC50   >100(µg/ml)","NA","NA","NA"
"2332","EC50   >100(µg/ml)","NA","NA","NA","NA","EC50   >100(µg/ml)","NA","NA","NA"
"2333","EC50   >100(µg/ml)","NA","NA","NA","NA","EC50   >100(µg/ml)","NA","NA","NA"
"2334","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2335","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"2336","~20% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2337","100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2338","~100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2339","<20% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2340","~80% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2341","~80% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2342",">80% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2343",">100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2344",">100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2345","~40% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2346",">60% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2347",">100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2348","0% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2349",">20% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2350",">40% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2351","~60% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2352","~100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2353","~100% hemolysis at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"2354","HC10  = 1.78 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2355","HC10  = 4500 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2356","HC10 = 192 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2357","HC10  = 1588 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2358","HC10  = 35.2 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2359","HC10  = 44 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2360","HC10  = 203 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2361","HC10  = 3840 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2362","HC10 = 650 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2363","HC10  = 15.4 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2364","HC10  = 9350  μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2365","HC10  = 13800 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2366","HC10  = 6140 μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2367","1.98% hemolysis at 64µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2368","2.05% hemolysis at 64µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2369","Hemolytic at 110 µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2370","Hemolytic 645µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2371","Hemolytic at 84µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2372","Hemolytic at  960µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2373","EC50 = 880000 nM","NA","NA","NA","NA","EC50 = 880000 nM","NA","NA","NA"
"2374","EC50 = 5,89,000 nM","NA","NA","NA","NA","EC50 = 5,89,000 nM","NA","NA","NA"
"2375","EC50 = 590000nM","NA","NA","NA","NA","EC50 = 590000nM","NA","NA","NA"
"2376","EC50 = 3226000nM","NA","NA","NA","NA","EC50 = 3226000nM","NA","NA","NA"
"2377","EC50 = 1055000nM","NA","NA","NA","NA","EC50 = 1055000nM","NA","NA","NA"
"2378","EC50 =  35000 nM","NA","NA","NA","NA","EC50 =  35000 nM","NA","NA","NA"
"2379","EC50 = 45000 nM","NA","NA","NA","NA","EC50 = 45000 nM","NA","NA","NA"
"2380","0% hemolysis  at 50 µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis  at 50 µM (non-hemolytic)"
"2381","0% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100μM (non-hemolytic)"
"2382","0% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100μM (non-hemolytic)"
"2383","0% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100μM (non-hemolytic)"
"2384","0% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100μM (non-hemolytic)"
"2385","0% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100μM (non-hemolytic)"
"2386","0% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100μM (non-hemolytic)"
"2387","0% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100μM (non-hemolytic)"
"2388","0% hemolysis at 100μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100μM (non-hemolytic)"
"2389","0% hemolysis at 100 µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100 µg/ml (non-hemolytic)"
"2390","~5% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2391","~5% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2392","~5% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2393","~20% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2394","0% hemolysis at 140µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 140µg/ml (non-hemolytic)"
"2395","80% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2396","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2397","~20% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2398","~50% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2399","~20% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"2400","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"2401","~20% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2402",">10% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2403","~10% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2404",">10% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2405","<0% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2406","EC50 = 5200","NA","NA","NA","NA","EC50 = 5200","NA","NA","NA"
"2407","EC50 = 1950µM","NA","NA","NA","NA","EC50 = 1950µM","NA","NA","NA"
"2408","EC50 = 338µM","NA","NA","NA","NA","EC50 = 338µM","NA","NA","NA"
"2409","EC50 = 48µM","NA","NA","NA","NA","EC50 = 48µM","NA","NA","NA"
"2410","EC50 = 3700µM","NA","NA","NA","NA","EC50 = 3700µM","NA","NA","NA"
"2411","EC50 = 1510µM","NA","NA","NA","NA","EC50 = 1510µM","NA","NA","NA"
"2412","EC50 = 1514µM","NA","NA","NA","NA","EC50 = 1514µM","NA","NA","NA"
"2413","EC50 = 3950µM","NA","NA","NA","NA","EC50 = 3950µM","NA","NA","NA"
"2414","EC50 = 1420µM","NA","NA","NA","NA","EC50 = 1420µM","NA","NA","NA"
"2415","EC50 = 610µM","NA","NA","NA","NA","EC50 = 610µM","NA","NA","NA"
"2416","EC50 = 112µM","NA","NA","NA","NA","EC50 = 112µM","NA","NA","NA"
"2417","100% hemolysis at 200µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2418","100% hemolysis at 200µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2419","~90% hemolysis at 200µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2420","Strong hemolysis","NA","NA","NA","NA","NA","NA","NA","NA"
"2421","Strong hemolysis","NA","NA","NA","NA","NA","NA","NA","NA"
"2422","Weak hemolysis","NA","NA","NA","NA","NA","NA","NA","NA"
"2423","Very strong hemolysis","NA","NA","NA","NA","NA","NA","NA","NA"
"2424","Weak hemolysis","NA","NA","NA","NA","NA","NA","NA","NA"
"2425","100% hemolysis at 1.5µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2426","100% hemolysis at 12.5µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2427","100% hemolysis at 25µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2428","100% hemolysis at 40µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2429","100% hemolysis at 200µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2430","100% hemolysis at >800µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2431","100% hemolysis at >800µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2432","100% hemolysis at >800µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2433","0.9% hemolysis at 80µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"2434","1.9% hemolysis at 80µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
